,time,x_camera,y_camera,z_camera,ID,u_camera,v_camera,old_camera
0,1718023393764907836,-0.024670585989952087,0.17177899181842804,1.5273540019989014,gman,628,494,0.7741705179214478
1,1718023395948480844,-0.024678383022546768,0.17183329164981842,1.5275325775146484,gman,628,494,0.7744151949882507
2,1718023398047344684,0.05000000074505806,0.05000000074505806,1.5357582569122314,gman,628,494,0.05000000074505806
3,1718023400150128364,-0.02471511997282505,0.17097334563732147,1.5280675888061523,gman,628,493,0.7755680680274963
4,1718023402249072313,-0.02585093304514885,0.17110612988471985,1.5291845798492432,gman,627,493,0.7761704325675964
5,1718023404360037565,-0.024684488773345947,0.17187578976154327,1.527672529220581,gman,628,494,0.7746067643165588
6,1718023406466309070,-0.024721013382077217,0.17101410031318665,1.5282028913497925,gman,628,493,0.7757529020309448
7,1718023408576487064,-0.024720346555113792,0.17100949585437775,1.5281875133514404,gman,628,493,0.7757320404052734
8,1718023410680303096,-0.02472344972193241,0.1710309386253357,1.5282588005065918,gman,628,493,0.7758293747901917
9,1718023412784057617,-0.024725710973143578,0.17104658484458923,1.528310775756836,gman,628,493,0.7759003043174744
10,1718023414959399700,-0.024695884436368942,0.1719551533460617,1.527933955192566,gman,628,494,0.7749643921852112
11,1718023417062247753,-0.024698471650481224,0.17197315394878387,1.5279933214187622,gman,628,494,0.7750455141067505
12,1718023419162373304,-0.024727798998355865,0.17106103897094727,1.528358817100525,gman,628,493,0.7759658694267273
13,1718023421262364149,-0.02470538020133972,0.1720212697982788,1.5281519889831543,gman,628,494,0.7752624154090881
14,1718023423363804101,-0.02470536157488823,0.17202113568782806,1.5281516313552856,gman,628,494,0.7752617597579956
15,1718023425477790832,-0.024706602096557617,0.1720297634601593,1.5281801223754883,gman,628,494,0.7753007411956787
16,1718023427593752622,-0.024708116427063942,0.17204031348228455,1.5282148122787476,gman,628,494,0.7753481864929199
17,1718023429706558942,-0.024708449840545654,0.1720426380634308,1.5282225608825684,gman,628,494,0.7753586769104004
