,z_gt,x_camera,y_camera,z_camera,ID
0,5273,1335.1160888671875,350.5847473144531,2114.739990234375,badge
1,5271,1327.0740966796875,-116.47322082519531,1938.55908203125,badge
2,5360,1176.2452392578125,-494.55072021484375,2192.895751953125,badge
3,5383,1194.9259033203125,-495.3757629394531,2077.294189453125,badge
4,5325,1262.1514892578125,-432.3023986816406,1941.651123046875,badge
5,5226,1266.05859375,-342.593017578125,1849.4290771484375,badge
6,5117,1276.1298828125,-427.3791198730469,1709.6488037109375,badge
7,5008,1248.082763671875,-375.1599426269531,1652.958740234375,badge
8,4899,1245.95849609375,-389.0738220214844,1583.7591552734375,badge
9,4769,,,,badge
10,4680,1199.4200439453125,-344.6663818359375,1445.3138427734375,badge
11,4576,1136.7484130859375,-332.2356872558594,1360.36083984375,badge
12,4623,1165.3463134765625,-314.44842529296875,1421.5045166015625,badge
13,4679,1165.6820068359375,-315.0362854003906,1452.5009765625,badge
14,4705,1170.6905517578125,-327.8885803222656,1435.5810546875,badge
15,4552,1172.6734619140625,-283.6990661621094,1400.94091796875,badge
16,4346,1163.5399169921875,-329.2193298339844,1380.5386962890625,badge
17,4325,1146.4617919921875,-300.6172790527344,1332.97216796875,badge
18,4004,1075.334716796875,-283.9598693847656,1392.337646484375,badge
19,4158,1080.9156494140625,-253.12918090820312,1366.4739990234375,badge
20,4101,1085.0216064453125,-232.3843231201172,1371.6646728515625,badge
21,4021,1050.7864990234375,-261.8683166503906,1284.0162353515625,badge
22,3889,1016.6381225585938,-228.91744995117188,1235.7711181640625,badge
23,3496,1009.2462768554688,-204.5491943359375,1177.3726806640625,badge
24,28770,957.404541015625,-198.27236938476562,1244.277587890625,badge
25,28517,971.3748779296875,-216.87718200683594,1227.99462890625,badge
26,28387,935.7633056640625,-169.6343536376953,1170.2056884765625,badge
27,28256,905.4673461914062,-149.7633056640625,1122.2247314453125,badge
28,28144,913.1858520507812,-118.76728057861328,1104.22705078125,badge
29,27818,874.4008178710938,-75.04283142089844,1048.2108154296875,badge
30,27832,872.1103515625,-133.07305908203125,1131.31103515625,badge
31,27848,849.3562622070312,-112.78379821777344,1140.0916748046875,badge
32,28048,849.7713012695312,-136.92453002929688,1136.2603759765625,badge
33,28152,846.8084716796875,-127.23104858398438,1068.5765380859375,badge
34,28225,,,,badge
