,z_gt,x_camera,y_camera,z_camera,ID
0,4390,-1398.94140625,189.2489776611328,1748.4757080078125,badge
1,4348,-1365.3380126953125,125.92647552490234,1853.0833740234375,badge
2,4326,-1382.3175048828125,192.0430145263672,1822.7435302734375,badge
3,4366,-1388.41455078125,276.1242980957031,1823.863525390625,badge
4,4492,-1437.3004150390625,-52.24883270263672,2166.492431640625,badge
5,4648,-1417.2884521484375,227.98236083984375,2051.79150390625,badge
6,4748,-1454.12548828125,217.00416564941406,2004.90625,badge
7,4785,-1442.948974609375,161.61988830566406,2033.8731689453125,badge
8,4815,-1348.907958984375,160.68067932128906,2415.652099609375,badge
9,4844,-1410.59033203125,157.79151916503906,2227.67578125,badge
10,4843,-1375.4254150390625,264.0530700683594,2259.406982421875,badge
11,4820,-1444.5916748046875,197.37289428710938,2135.7998046875,badge
12,4799,-1431.353271484375,131.05140686035156,2059.286376953125,badge
13,4788,-1433.060546875,188.1610565185547,2207.9814453125,badge
14,4801,-1410.6678466796875,195.0336456298828,2178.308349609375,badge
15,4803,-1378.3865966796875,141.75157165527344,2227.424072265625,badge
16,4810,-1417.38330078125,126.63690948486328,2243.500732421875,badge
17,4804,-1419.1939697265625,153.43798828125,2211.121826171875,badge
18,4838,-1325.4625244140625,173.89662170410156,2314.04833984375,badge
19,4848,-1218.455810546875,113.56051635742188,2527.097412109375,badge
20,4941,-1215.859375,112.71760559082031,2591.298095703125,badge
21,4989,-1214.9285888671875,119.34954833984375,2573.533203125,badge
22,5041,-1176.25244140625,122.87924194335938,2569.92236328125,badge
23,4957,-1166.405517578125,496.26983642578125,2589.09814453125,badge
24,5007,-972.7313232421875,459.338134765625,2746.9072265625,badge
25,4917,-1299.236328125,474.3925476074219,2124.21142578125,badge
26,4954,-1277.7779541015625,437.3927307128906,2264.93017578125,badge
27,4871,-1255.4498291015625,498.0938720703125,2320.01025390625,badge
28,4866,-1215.51318359375,513.2738647460938,2359.099609375,badge
29,4860,-1160.0296630859375,493.1802062988281,2479.914794921875,badge
30,4917,-1170.6485595703125,459.50445556640625,2510.33642578125,badge
31,5021,-1122.4598388671875,449.6412048339844,2599.463623046875,badge
32,5085,-1150.0997314453125,438.4424743652344,2577.59716796875,badge
33,5066,-1053.9249267578125,502.8557434082031,2643.296875,badge
34,5006,-1060.8104248046875,468.3135070800781,2641.504150390625,badge
35,4975,-1062.27392578125,455.91033935546875,2635.706787109375,badge
36,4971,-953.2470703125,483.080810546875,2702.865966796875,badge
37,4960,-939.4803466796875,382.85662841796875,2765.353271484375,badge
38,4952,-863.8038330078125,424.482666015625,2803.80419921875,badge
39,4950,-822.9338989257812,477.25506591796875,2829.70849609375,badge
40,4950,-833.7389526367188,374.85009765625,2824.939208984375,badge
41,4969,-775.2282104492188,506.49932861328125,2833.89404296875,badge
42,4991,-689.6746826171875,390.6128845214844,2851.001220703125,badge
43,5046,-508.9173889160156,391.99603271484375,3019.630126953125,badge
44,5003,-544.20703125,315.2517395019531,2951.852294921875,badge
45,5025,-616.891845703125,185.03103637695312,2781.73193359375,badge
46,5043,-522.812255859375,371.0277404785156,2858.10693359375,badge
47,5061,-493.6345520019531,289.26837158203125,2904.160400390625,badge
