,z_gt,x_camera,y_camera,z_camera,ID
0,5037,-1417.5341796875,-193.11622619628906,1704.296142578125,badge
1,5050,-1431.6585693359375,-42.68739700317383,2009.80810546875,badge
2,5067,-1446.5712890625,-55.50447463989258,1858.121826171875,badge
3,5127,-1423.0540771484375,-118.37064361572266,1838.1038818359375,badge
4,5103,-1410.604248046875,-111.3333969116211,1853.0126953125,badge
5,5041,-1415.410400390625,-151.55445861816406,1762.7205810546875,badge
6,4923,-1395.6768798828125,-130.8438262939453,1660.7818603515625,badge
7,4835,,,,badge
8,4761,-1402.91796875,-150.3067169189453,1719.4375,badge
9,4714,-1380.0050048828125,-119.19490814208984,1664.9344482421875,badge
10,4703,-1353.892578125,-139.439208984375,1707.5224609375,badge
11,4702,-1367.4586181640625,-160.54466247558594,1696.922119140625,badge
12,4667,-1352.7269287109375,-119.03630065917969,1696.8162841796875,badge
13,4600,-1342.997802734375,-134.6463623046875,1620.2864990234375,badge
14,4540,-1289.9688720703125,-127.281982421875,1586.600341796875,badge
15,4488,-1282.6326904296875,-78.00857543945312,1605.9942626953125,badge
16,4434,-1270.6053466796875,-85.9106674194336,1717.8009033203125,badge
17,4391,-1275.2288818359375,-59.402549743652344,1737.569580078125,badge
18,4330,-1280.109130859375,-34.94816589355469,1764.9774169921875,badge
19,4278,,,,badge
20,4172,-1392.81201171875,-115.08712005615234,1640.5223388671875,badge
21,4149,-1190.076171875,-60.144134521484375,1453.4498291015625,badge
22,4138,-1215.9599609375,-90.65965270996094,1508.9227294921875,badge
23,4131,-1241.777099609375,-59.839237213134766,1498.166748046875,badge
24,4091,-1210.2408447265625,-22.531797409057617,1455.0682373046875,badge
25,4021,,,,badge
26,3959,,,,badge
27,3903,-1151.685791015625,-30.033061981201172,1414.0167236328125,badge
28,3881,-1231.6033935546875,-133.93389892578125,1483.31787109375,badge
29,3868,-1162.2462158203125,-36.14788055419922,1414.490478515625,badge
30,3855,,,,badge
31,3813,-1163.846923828125,-13.615853309631348,1399.2889404296875,badge
32,3768,-1195.4293212890625,-65.5638427734375,1434.7786865234375,badge
33,3741,,,,badge
34,3732,-1145.1256103515625,-22.718164443969727,1617.3631591796875,badge
35,3728,-1154.8759765625,-33.48780059814453,1576.6727294921875,badge
36,3678,,,,badge
37,3526,,,,badge
38,3526,,,,badge
39,3526,,,,badge
40,3526,-1150.173095703125,93.10958099365234,1399.797119140625,badge
41,3526,-1119.5450439453125,155.5397186279297,1584.4530029296875,badge
42,3526,-1070.78662109375,181.38404846191406,1675.811279296875,badge
43,3526,-1096.9461669921875,197.9595947265625,1693.869140625,badge
44,3528,-1116.5694580078125,183.11605834960938,1606.4072265625,badge
45,3527,-1109.1219482421875,186.02793884277344,1499.482666015625,badge
46,3502,-1107.800048828125,187.92245483398438,1480.4193115234375,badge
47,3467,-1106.0997314453125,156.4236297607422,1407.778564453125,badge
48,3431,-1089.1357421875,142.90785217285156,1356.385498046875,badge
49,3392,,,,badge
50,3352,-1090.7254638671875,145.3282470703125,1398.453369140625,badge
51,3309,-1080.1552734375,-36.70699691772461,1359.819091796875,badge
52,3309,-1080.1552734375,-36.70699691772461,1359.819091796875,badge
53,3296,-1060.7447509765625,88.82498168945312,1335.383056640625,badge
54,3290,-1060.5308837890625,117.1934585571289,1330.295166015625,badge
