,z_gt,x_camera,y_camera,z_camera,ID
0,6391,-324.5952453613281,-496.4550476074219,3262.84033203125,badge
1,5917,-291.14422607421875,-418.4462890625,3204.6455078125,badge
2,5715,-766.17578125,-570.894287109375,3058.123779296875,badge
3,5759,-294.39404296875,-430.2887268066406,3189.904541015625,badge
4,5531,-249.76336669921875,-711.314697265625,3037.783935546875,badge
5,5203,-448.60980224609375,-397.2273254394531,2883.305419921875,badge
6,5185,-307.8419494628906,-530.4176025390625,2885.778564453125,badge
7,5195,-295.23236083984375,-604.8279418945312,2884.2646484375,badge
8,5291,-544.802734375,-576.1865234375,2865.637939453125,badge
9,5328,-528.8956909179688,-551.7039184570312,2824.717529296875,badge
10,5407,-520.4962768554688,-576.2200927734375,2845.446044921875,badge
11,5426,-526.9614868164062,-619.2255249023438,2836.1787109375,badge
12,5379,-503.14019775390625,-560.0674438476562,2707.96923828125,badge
13,5341,-437.54986572265625,-656.470947265625,2736.318359375,badge
14,5289,-511.7628173828125,-461.9057922363281,2797.701904296875,badge
15,5245,-501.5169677734375,-421.10406494140625,2741.68994140625,badge
16,5093,-573.113037109375,-500.00909423828125,2763.599853515625,badge
17,4979,-613.801025390625,-477.7596130371094,2749.955078125,badge
18,4984,-487.2097473144531,-465.5445556640625,2795.3837890625,badge
19,4917,-549.3515014648438,-432.7381591796875,2667.524658203125,badge
20,4842,-456.98529052734375,-469.5733337402344,2422.050048828125,badge
21,4688,-616.2915649414062,-372.2129821777344,2517.701904296875,badge
22,4639,-522.3880004882812,-402.5252990722656,2572.537841796875,badge
23,4600,-555.0617065429688,-313.3452453613281,2569.6005859375,badge
24,4499,-549.9522094726562,-358.40423583984375,2448.120361328125,badge
25,4440,-635.8668823242188,-343.4468688964844,2467.1728515625,badge
26,4372,-544.73779296875,-507.4036865234375,2278.96240234375,badge
27,4301,-569.2030639648438,-322.7010498046875,2367.068603515625,badge
28,4213,-664.199462890625,-264.05596923828125,2272.648193359375,badge
29,4135,-653.6926879882812,-297.6029968261719,2182.969970703125,badge
30,4048,-652.4718627929688,-377.26849365234375,2005.468994140625,badge
31,3964,-735.0316772460938,-265.3048095703125,2101.27392578125,badge
32,3893,-657.8064575195312,-333.23870849609375,1785.068115234375,badge
33,3815,-824.9286499023438,-258.55975341796875,1916.8082275390625,badge
34,3765,-686.4450073242188,-310.3705749511719,1715.4490966796875,badge
35,3743,-785.617431640625,-341.5798034667969,1999.22216796875,badge
36,3741,-721.6083374023438,-307.7655334472656,1771.4796142578125,badge
37,3718,-683.1298217773438,-285.1236572265625,1682.9622802734375,badge
38,3691,-643.9765014648438,-301.25396728515625,1733.9993896484375,badge
39,3638,-679.8765258789062,-267.69647216796875,1742.896240234375,badge
40,3596,-765.2239379882812,-323.8784484863281,1961.6885986328125,badge
41,3549,-786.0879516601562,-284.2901916503906,1922.9794921875,badge
42,3493,-698.4888916015625,-240.5162353515625,1580.739501953125,badge
43,3426,-699.9784545898438,-152.26065063476562,1801.07080078125,badge
44,3364,-685.0177001953125,-213.18760681152344,1769.125,badge
45,3290,-715.8907470703125,-81.75914764404297,1589.0797119140625,badge
46,3231,-703.7868041992188,-178.72872924804688,1577.3231201171875,badge
47,3193,-691.01708984375,-171.0298309326172,1548.7037353515625,badge
48,3153,-773.8619995117188,-147.21871948242188,1712.2918701171875,badge
49,3107,-641.624267578125,-113.5482177734375,1495.8817138671875,badge
50,3037,-729.0100708007812,-148.96717834472656,1649.8115234375,badge
51,2995,-685.6884155273438,-115.58364868164062,1582.687744140625,badge
52,2960,-630.8699951171875,-98.1502456665039,1490.8099365234375,badge
53,2904,-588.9253540039062,-35.49374008178711,1471.7442626953125,badge
54,2840,-606.3793334960938,-91.77713012695312,1457.71435546875,badge
55,2768,,,,badge
56,2687,-549.77880859375,-54.466434478759766,1414.6016845703125,badge
57,2602,-568.3801879882812,45.74241638183594,1311.9200439453125,badge
58,2495,-548.826171875,-1.382776141166687,1258.4285888671875,badge
59,2394,-568.074462890625,-4.670639991760254,1174.69091796875,badge
60,2280,-577.4287109375,31.920757293701172,1044.8385009765625,badge
61,2190,-582.8466796875,40.31345748901367,926.77783203125,badge
62,2082,-553.7364501953125,39.28861999511719,903.2175903320312,badge
63,1987,-524.2098388671875,33.11480712890625,845.1397705078125,badge
64,1895,-501.9521179199219,22.716272354125977,780.2987060546875,badge
65,1819,-504.60772705078125,22.74419593811035,744.4689331054688,badge
66,1735,-457.9338073730469,25.615612030029297,705.5593872070312,badge
67,1658,-464.59228515625,20.655963897705078,709.527587890625,badge
68,1603,-448.8357238769531,18.984203338623047,723.6204223632812,badge
69,1445,,,,badge
70,1363,,,,badge
71,1322,,,,badge
72,1280,,,,badge
73,1241,,,,badge
