,z_gt,x_camera,y_camera,z_camera,ID
0,6373,255.0720672607422,-770.5830078125,3064.932373046875,badge
1,5812,1016.4360961914062,-498.2332458496094,2608.5908203125,badge
2,5782,605.1036987304688,-609.0624389648438,3007.62548828125,badge
3,5209,140.3339080810547,-742.8487548828125,2721.071533203125,badge
4,5209,159.3314666748047,-736.275146484375,2711.27978515625,badge
5,5273,235.9619598388672,-696.7277221679688,2787.126708984375,badge
6,5221,315.88043212890625,-567.1070556640625,2820.481689453125,badge
7,5170,319.3776550292969,-574.2147827148438,2815.54150390625,badge
8,5241,526.2203369140625,-651.6922607421875,2732.787109375,badge
9,5030,129.07394409179688,-662.6033935546875,2650.61865234375,badge
10,5006,168.25718688964844,-425.23291015625,2794.74853515625,badge
11,5119,257.1358947753906,-366.1419372558594,2714.358642578125,badge
12,4996,-73.07678985595703,-540.9417724609375,2652.39453125,badge
