,z_gt,x_camera,y_camera,z_camera,ID
0,3202,-757.294921875,46.223793029785156,1670.317626953125,badge
1,3198,-869.3041381835938,62.116790771484375,1476.8653564453125,badge
2,3196,-837.9967041015625,65.78675079345703,1512.390869140625,badge
3,3202,-848.1376953125,-43.07431411743164,1514.9593505859375,badge
4,3203,-877.1029052734375,31.656248092651367,1444.2271728515625,badge
5,3200,-840.8194580078125,29.985790252685547,1574.7255859375,badge
6,3208,-820.8690795898438,247.77243041992188,1520.9697265625,badge
7,3220,-878.8133544921875,428.5837707519531,1288.3468017578125,badge
8,3216,-898.0504150390625,270.5965576171875,1188.6920166015625,badge
9,3190,-896.1056518554688,392.5166320800781,1108.0491943359375,badge
10,3179,-897.6646118164062,314.8103332519531,1138.326171875,badge
11,3189,-944.0924682617188,19.039749145507812,1177.862060546875,badge
12,3216,-985.0303344726562,-140.7698211669922,1274.6942138671875,badge
13,3215,,,,badge
14,3197,-1080.804443359375,-413.6711730957031,1425.164306640625,badge
15,3203,-986.1652221679688,-478.6122131347656,1593.6080322265625,badge
16,3228,-1032.138671875,-557.3031005859375,2020.122802734375,badge
17,3305,-980.5026245117188,-277.73883056640625,1682.22705078125,badge
18,3379,-985.1932983398438,25.439058303833008,1573.74462890625,badge
19,3456,-947.9613037109375,158.46966552734375,1568.33203125,badge
20,3501,-674.087646484375,395.9497375488281,1935.008056640625,badge
21,3533,-579.9104614257812,188.9477081298828,2044.6295166015625,badge
22,3565,-676.8359375,-16.877023696899414,2035.355712890625,badge
23,3592,-802.1353759765625,-98.577392578125,1863.8455810546875,badge
24,3610,-694.107666015625,438.06695556640625,1799.28564453125,badge
25,3602,-886.3329467773438,479.89227294921875,1487.6163330078125,badge
26,3516,-891.4646606445312,313.84063720703125,1361.44921875,badge
27,3284,-844.0509643554688,136.1651611328125,1060.6639404296875,badge
28,3014,-774.729736328125,186.99111938476562,1223.4925537109375,badge
29,2745,-751.423095703125,248.69338989257812,1078.838623046875,badge
30,2619,,,,badge
31,2561,,,,badge
32,2518,,,,badge
33,2488,-823.4715576171875,-85.77518463134766,1108.982421875,badge
34,2491,-793.5641479492188,-57.45545196533203,1148.833251953125,badge
35,2522,-791.2120361328125,-41.048309326171875,1027.7071533203125,badge
36,2550,-805.4303588867188,-98.47831726074219,1108.3056640625,badge
37,2570,-715.60205078125,-64.9155044555664,1420.5906982421875,badge
38,2586,-674.9893188476562,-58.172279357910156,1456.431884765625,badge
39,2602,-686.9119873046875,-209.0159149169922,1441.87548828125,badge
40,2596,-859.1073608398438,-279.5786437988281,1193.985595703125,badge
41,2561,-847.110595703125,-335.0306396484375,1154.23486328125,badge
42,2605,-628.0018920898438,-561.376953125,1690.9852294921875,badge
43,2718,-692.5833129882812,-388.5130310058594,1659.2073974609375,badge
44,2854,-840.64404296875,-69.70166015625,1478.774169921875,badge
45,2918,,,,badge
46,2906,,,,badge
47,2846,-796.9076538085938,330.7684020996094,1073.2083740234375,badge
48,2807,-819.052001953125,169.4561309814453,1031.1134033203125,badge
49,2781,-813.849609375,144.31651306152344,1087.5958251953125,badge
50,2802,-842.7930297851562,110.24099731445312,1251.3758544921875,badge
51,2863,-850.9773559570312,4.507771015167236,1401.2091064453125,badge
52,2952,-861.851806640625,-73.36190795898438,1425.8701171875,badge
53,2999,-882.6582641601562,-59.10523223876953,1181.8209228515625,badge
54,2999,-851.2959594726562,43.98373031616211,1122.531005859375,badge
55,2983,-881.4117431640625,74.43247985839844,1224.9842529296875,badge
56,2974,-845.38720703125,200.82174682617188,1160.98974609375,badge
57,2932,-798.3180541992188,188.50099182128906,1054.67431640625,badge
58,2767,-741.1150512695312,192.9205780029297,1021.8280029296875,badge
59,2560,-691.1053466796875,248.31317138671875,996.354736328125,badge
60,2189,,,,badge
61,2125,,,,badge
62,2090,,,,badge
63,1620,-415.3465881347656,204.98289489746094,799.4192504882812,badge
64,1426,-375.7043762207031,128.2523651123047,735.3362426757812,badge
