,z_gt,x_camera,y_camera,z_camera,ID
0,3102,-918.1847534179688,258.0467834472656,1529.9935302734375,badge
1,3341,-906.9298706054688,111.18354034423828,1671.5186767578125,badge
2,3495,-735.8486938476562,150.6477508544922,2004.6748046875,badge
3,3596,-648.7789306640625,165.02833557128906,2076.76611328125,badge
4,3613,-898.9730224609375,160.51803588867188,1764.4564208984375,badge
5,3603,-1005.7498168945312,139.78549194335938,1403.40087890625,badge
6,3633,-992.3305053710938,-40.23209762573242,1894.207763671875,badge
7,3696,-830.9916381835938,189.9456329345703,1963.7176513671875,badge
8,3797,-955.3079223632812,80.22257232666016,1907.3416748046875,badge
9,3881,-1018.9344482421875,-11.552970886230469,1685.751708984375,badge
10,3935,-977.5951538085938,91.22968292236328,1907.996826171875,badge
11,3946,-1052.9764404296875,-207.8168182373047,1811.0389404296875,badge
12,3915,-943.1627197265625,-408.7970275878906,2047.78564453125,badge
13,3827,-803.7384033203125,-386.5921630859375,2206.926025390625,badge
14,3750,-967.2910766601562,-217.13258361816406,2074.257080078125,badge
15,3711,-1004.254638671875,-618.4005126953125,2089.073974609375,badge
16,3756,-857.3411865234375,-313.3675231933594,2119.662841796875,badge
17,3849,-861.0563354492188,-14.088542938232422,2055.729736328125,badge
18,3932,-955.6799926757812,28.098535537719727,1908.08447265625,badge
19,3996,-851.92333984375,-5.091009140014648,2006.3604736328125,badge
20,4060,-886.6759643554688,170.55662536621094,1968.17578125,badge
21,4093,-903.3080444335938,343.69281005859375,1907.626953125,badge
22,4097,-950.4190063476562,73.31465148925781,2019.38720703125,badge
23,4090,-993.6488647460938,-153.00633239746094,1978.2100830078125,badge
24,4091,-986.5963745117188,-335.1728515625,2142.08837890625,badge
25,4075,-1041.1221923828125,-392.51141357421875,2055.06494140625,badge
26,4056,-911.12255859375,-534.2875366210938,2310.1474609375,badge
27,4066,-706.0245361328125,-602.1512451171875,2636.3740234375,badge
28,4124,-976.6939697265625,-744.7689208984375,2503.802001953125,badge
29,4288,-810.322021484375,-812.5771484375,2558.52490234375,badge
