,z_gt,x_camera,y_camera,z_camera,ID
0,4148,164.87904357910156,12.042041778564453,452.4549255371094,gman
1,4154,-2525.849365234375,-292.3411865234375,7695.50390625,gman
2,3821,839.2452392578125,657.8065795898438,1748.9781494140625,bootlegger
3,3847,4336.537109375,2364.59228515625,7695.50390625,bootlegger
4,4037,1805.34521484375,477.85638427734375,2908.536865234375,bootlegger
5,3554,1724.356689453125,280.5249938964844,3776.9345703125,bootlegger
6,3554,-202.31744384765625,150.1043701171875,1911.926513671875,gman
7,4245,2542.352294921875,838.2446899414062,3896.457763671875,bootlegger
8,4071,1093.4595947265625,678.5183715820312,1814.26416015625,bootlegger
9,4201,450.2250671386719,251.61618041992188,756.3148803710938,bootlegger
10,4192,718.1157836914062,461.6529846191406,1316.4083251953125,bootlegger
11,4192,2516.432861328125,1162.4569091796875,3946.412353515625,bootlegger
12,4425,2097.04052734375,971.4348754882812,3321.80029296875,bootlegger
13,4107,403.3643493652344,219.75054931640625,680.0150756835938,bootlegger
14,4290,1898.5791015625,846.015869140625,3206.4599609375,gman
15,4400,361.1658630371094,178.07850646972656,604.5567626953125,bootlegger
16,4026,1150.4287109375,514.0615844726562,4847.5615234375,gman
17,4322,2685.0400390625,1923.1793212890625,6368.69287109375,bootlegger
18,4293,322.4193115234375,100.08094787597656,527.5409545898438,bootlegger
19,4167,516.6184692382812,183.74781799316406,737.8829345703125,bootlegger
20,4334,2333.95166015625,925.6390380859375,3565.484375,bootlegger
21,3801,340.7757263183594,240.10986328125,651.2415161132812,bootlegger
22,3801,-9.587350845336914,279.4015197753906,2311.54052734375,gman
23,4616,3080.1962890625,2277.849365234375,5613.74169921875,bootlegger
24,3446,4874.44384765625,3252.953369140625,7695.50390625,bootlegger
25,1899,-22.65020751953125,127.63121032714844,933.2597045898438,gman
26,1592,-297.6016845703125,171.2604217529297,1271.984130859375,gman
27,1785,-136.17703247070312,157.22227478027344,1225.5614013671875,gman
28,1785,641.7263793945312,395.0109558105469,1226.3751220703125,bootlegger
29,1871,-84.46934509277344,116.0223388671875,896.9990234375,gman
30,1871,266.78790283203125,140.97764587402344,645.7765502929688,bootlegger
31,1793,684.0771484375,-60.27653503417969,1586.701904296875,bootlegger
32,2254,748.8966674804688,669.2915649414062,4711.533203125,gman
33,2254,1148.896240234375,403.9614562988281,2177.972900390625,gman
34,2630,230.06365966796875,165.68881225585938,579.1536254882812,gman
35,2630,269.9798889160156,190.54083251953125,676.0325927734375,bootlegger
36,2661,1533.60888671875,799.47216796875,2913.12451171875,gman
37,2661,1325.6175537109375,689.766845703125,2523.115966796875,bootlegger
38,2661,182.38597106933594,373.07489013671875,2646.0185546875,gman
39,2728,77.84963989257812,323.4086608886719,2364.815673828125,gman
40,35274,1409.9017333984375,427.19049072265625,3052.761962890625,gman
